RegionName,State,Metro,CountyName,SizeRank,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,AVERAGE,,Metro,Average
Greenwich Township,NJ,Allentown,Warren,5234,374900,374900,360950,339500,324900,343750,324900,329000,329000,294900,291950,289900,331545.8333,,Casper,221393.75
Hackettstown,NJ,Allentown,Warren,4030,236000,236000,242000,240900,239950,239000,236700,244500,239000,239000,239900,242500,239620.8333,,Cedar City,198881.25
Hanover Township,PA,Allentown,Northampton,3735,294900,289900,295000,284900,311950,309000,329900,299000,309950,329900,332450,344900,310979.1667,,Cedar Rapids,168052.5417
Independence Township,NJ,Allentown,Warren,5915,232900,225000,219900,219900,225000,223000,229000,229000,255000,257500,260000,234950,234262.5,,Cedartown,123579.1667
Jim Thorpe,PA,Allentown,Carbon,5575,122450,122450,124900,134450,129000,129000,132450,124500,125000,119900,121950,124500,125879.1667,,Celina,122791.6667
Kidder Township,PA,Allentown,Carbon,6405,186750,183000,189900,197000,197000,199000,196950,198000,221950,219900,221950,224950,203029.1667,,Centralia,197214.5417
Lehighton,PA,Allentown,Carbon,5309,,,,124900,124950,117450,109000,105750,106500,105000,104900,104900,111483.3333,,Chambersburg,198615.9007
Lopatcong,NJ,Allentown,Warren,4498,262245,255000,259900,259900,259900,244500,235000,235000,229900,228900,226250,225000,243457.9167,,Champaign-Urbana,164272.9524
Moore Township,PA,Allentown,Northampton,4112,233500,229900,239950,247450,259900,284900,277315.5,274000,279500,284900,309000,277200,266459.625,,Charleston,300436.4821
North Whitehall Township,PA,Allentown,Lehigh,3138,274000,279900,274000,269900,299000,299500,289950,277450,299000,284500,290000,299900,286425,,Charlotte,292229.8932
Palmer Township,PA,Allentown,Northampton,3221,229000,229450,224900,237500,229450,239000,239450,239450,239900,239900,229450,220000,233120.8333,,Charlottesville,399421.1347
Penn Forest Township,PA,Allentown,Carbon,4065,129999.5,129000,129900,129900,129999,135450,135950,134900,134900,135000,135000,134900,132908.2083,,Chattanooga,198403.9747
Phillipsburg,NJ,Allentown,Warren,2984,110000,110000,119900,122900,124900,119900,124700,115000,114950,115000,114000,109950,116766.6667,,Cheyenne,243220.8333
Pohatcong Township,NJ,Allentown,Warren,6058,179000,185000,188100,188900,187450,184000,184450,184000,176500,174950,174900,162500,180812.5,,Chicago,294017.9178
South Whitehall Township,PA,Allentown,Lehigh,2394,216700,225500,234700,239900,239500,236250,235000,239450,239900,239000,239000,249900,236233.3333,,Chico,255386.9444
Towamensing Township,PA,Allentown,Carbon,5631,,,,262400,265000,265000,281500,274950,275000,279950,272400,245750,269105.5556,,Chillicothe,129212.5
Upper Macungie,PA,Allentown,Lehigh,2233,272445,265950,279450,277995,284450,299900,294000,284900,280000,289900,289990,289900,284073.3333,,Cincinnati,206805.0435
Upper Milford Township,PA,Allentown,Lehigh,4613,304950,305400,346900,341900,349900,359400,341400,348900,341900,350400,363900,363900,343237.5,,Claremont,218746.3706
Upper Mt Bethel Township,PA,Allentown,Northampton,5364,265500,244900,254450,259949.5,264949.5,269950,259900,249900,239900,239900,239900,249900,253258.25,,Clarksburg,148856.9444
Upper Saucon Township,PA,Allentown,Lehigh,2932,337900,347500,332400,349900,348900,349400,345400,374950,378700,376700,379700,382500,358662.5,,Clarksville,147603.0313
Washington Township,NJ,Allentown,Warren,3660,190000,205000,199900,205000,217500,224900,229000,229950,231950,224750,223600,185000,213879.1667,,Clearlake,245265.625
Washington Township,PA,Allentown,Northampton,5397,,,264900,270000,259900,289900,289900,249900,264450,263450,258900,241900,265320,,Cleveland,189701.193
Weisenberg Township,PA,Allentown,Lehigh,5457,,,,,349900,354900,366400,354850,361400,354400,362900,382400,360893.75,,Clewiston,159191.6667
Whitehall Township,PA,Allentown,Lehigh,4606,,,224900,229900,238500,227000,222200,219700,217250,219700,210000,214900,222405,,Clinton,88395.83333
Williams Township,PA,Allentown,Northampton,5446,,,337450,327950,339339,379900,375900,354450,349450,364900,344000,349900,352323.9,,Clovis,165725
