GeoFips,GeoName,LineCode,Description,2015
16620,"Charleston, WV (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",1,RPPs: All items,96.1
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",2,  RPPs: Goods,97.4
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,97.1
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.9
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",1,RPPs: All items,93.5
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",2,  RPPs: Goods,97
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,85.9
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
16820,"Charlottesville, VA (Metropolitan Statistical Area)",1,RPPs: All items,98.1
16820,"Charlottesville, VA (Metropolitan Statistical Area)",2,  RPPs: Goods,96.6
16820,"Charlottesville, VA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,109.7
16820,"Charlottesville, VA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",1,RPPs: All items,89.9
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.1
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,72
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
16940,"Cheyenne, WY (Metropolitan Statistical Area)",1,RPPs: All items,98.1
16940,"Cheyenne, WY (Metropolitan Statistical Area)",2,  RPPs: Goods,96.2
16940,"Cheyenne, WY (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,94.5
16940,"Cheyenne, WY (Metropolitan Statistical Area)",4,  RPPs: Services: Other,102.8
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",1,RPPs: All items,104.6
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",2,  RPPs: Goods,101.8
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,115.7
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",4,  RPPs: Services: Other,102.2
17020,"Chico, CA (Metropolitan Statistical Area)",1,RPPs: All items,99.7
17020,"Chico, CA (Metropolitan Statistical Area)",2,  RPPs: Goods,96.2
17020,"Chico, CA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,102.1
17020,"Chico, CA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,102.8
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",1,RPPs: All items,89.2
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",2,  RPPs: Goods,93
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,79
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",4,  RPPs: Services: Other,91.1
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",1,RPPs: All items,91
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",2,  RPPs: Goods,97.2
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,77.8
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
17420,"Cleveland, TN (Metropolitan Statistical Area)",1,RPPs: All items,84.4
17420,"Cleveland, TN (Metropolitan Statistical Area)",2,  RPPs: Goods,91.5
17420,"Cleveland, TN (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,67.6
17420,"Cleveland, TN (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.7
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",1,RPPs: All items,89.7
